brand,id,city,address,zip code,latitude,longitude,name,ownership,storeNumber,Drive-Thru,Oven-warmed Food,Mobile Payment,LaBoulange,Google Wi-Fi,Mobile Order and Pay,Music Experience,Nitro Cold Brew,Lunch,My Starbucks Rewards,Playbook Store System,tbd - Blonde Espresso,Digital Rewards,Bakery,Wireless Hotspot,Verismo,Starbucks Reserve-Clover Brewed,tbd - Coffee Scale
Starbucks,1007077,Champlin,11223 Aquila Drive,55316,45.158711,-93.390784,Hwy 169 and Elm Creek - Champlin,CO,23160-226966,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
Starbucks,8356,Brooklyn Center,5512 Brooklyn Blvd.,55429,45.055266,-93.323226,Brooklyn Ctr-Brooklyn Blvd. & 55th,CO,9605-97352,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0
Starbucks,1016615,Cambridge,1400 1st Ave. East Building B,55008,45.572889,-93.206249,Cambridge - Hwy 95 and Hwy 65,CO,48164-261724,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1
Starbucks,13706,Brooklyn Park,7535 W Broadway Ave.,55428,45.091169,-93.378348,Target Brooklyn Park T-693,LS,76133-88561,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Starbucks,1007209,Minneapolis,425 14th Avenue SE,55414,44.981365,-93.235325,14th and 5th - Dinkytown,CO,23000-226785,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1
Starbucks,1026071,Lakeville,17380 Cedar Avenue,55044,44.697979,-93.216765,Hy-Vee Lakeville - F&F Concept,LS,58376-292497,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
Starbucks,16233,Apple Valley,15150 Cedar Ave.,55124,44.729413,-93.214503,Target Apple Valley ST-643,LS,72682-76602,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0
Starbucks,1015152,Red Wing,151 Tyler Rd. N,55066,44.569048,-92.584723,Target - Red Wing T-1522,LS,29841-254985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Starbucks,14306,Lakeville,16227 Kenrick Ave.,55044,44.71348,-93.280162,16227 Kenrick Ave - I35 & Cty Rd 46,CO,8959-95199,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0
Starbucks,8100,Lakeville,17740 Kenwood Trail,55044,44.692412,-93.283218,Lakeville - I-35 & Kenwood Trail,CO,9762-97954,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0
Starbucks,9325,Lakeville,18275 Kenrick Ave.,55044,44.684693,-93.289403,Target Lakeville ST-1484,LS,72684-76620,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0
Starbucks,6528,Burnsville,810 County Rd. 42w,55337,44.748868,-93.289517,Target Burnsville ST-2340,LS,76809-110952,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0
Starbucks,1008690,Burnsville,1310 County Road 42 W,55337,44.746896,-93.295509,CR 42 and Burnhaven Dr,CO,23397-220084,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0
Starbucks,13642,Bloomington,704-708 West 98th Street,55420,44.827178,-93.289171,98th and Lyndale-Bloomington,CO,2578-36339,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0
Starbucks,12970,Minneapolis,218 Como Avenue SE,55414,44.97312,-93.236007,U of MN - Coffman Union Bldg,LS,75137-68162,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0
Starbucks,18020,Richfield,6445 Richfield Pkwy.,55423,44.884343,-93.248499,Target Richfield ST-2300,LS,76815-110950,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0
Starbucks,1021746,Minneapolis,4712 Cedar Ave.,55407,44.917799,-93.247542,Minneapolis - 47th and Cedar,CO,49134-267164,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1
Starbucks,7303,Minneapolis,2500 E Lake St.,55406,44.949336,-93.236363,Target Minneapolis T-52,LS,76974-96449,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0
Starbucks,16771,Richfield,7610 Lyndale Ave. South,55423,44.864713,-93.288659,Lyndale and 77th,CO,3484-92905,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0
Starbucks,12285,Minneapolis,815 25th Ave.,55454,44.964817,-93.235701,25th and Riverside,CO,295-1494,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0
Starbucks,1008940,Elk River,19179 Freeport Ave.,55330,45.316908,-93.561642,Highway 169 and Freeport-Elk River,CO,20689-206848,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0
Starbucks,10716,Otsego,15800 87th St. NE,55330,45.277961,-93.563347,Target Otsego ST-2456,LS,76975-136638,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0
Starbucks,91234,Rogers,13590 Northdale Blvd.,55374,45.201177,-93.554136,Hwy 101 & Diamond Lk Rd-Rogers,CO,18163-182985,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0
Starbucks,16616,Rogers,21615 S Diamond Lake Rd.,55374,45.19764,-93.554653,Target Rogers ST-1456,LS,72678-64266,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Starbucks,6527,Maple Grove,15300 Grove Circle N,55369,45.136755,-93.47563,Target Maple Grove T-2193,LS,76808-99120,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
Starbucks,91096,Maple Grove,9404 Dunkirk Lane North,55311,45.125304,-93.491093,Maple Grove - Dunkirk Square,CO,17564-178944,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0
Starbucks,12142,Maple Grove,7979 Wedgewood Lane,55369,45.099604,-93.45016,7979 Wedgewood Lane,CO,2318-2001,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0
Starbucks,1020354,Albertville,6415 Labeaux Ave. NE,55301,45.246689,-93.666597,Albertville Premium Outlets,LS,53017-283178,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0
Starbucks,1007061,Crystal,5596 W Broadway Ave.,55428,45.054312,-93.36459,Bass Lake Rd & Broadway-Crystal,CO,22725-223764,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0
Starbucks,11921,Crystal,5537 W Broadway Ave.,55428,45.052521,-93.364575,Target Crystal T-3,LS,76188-88825,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
Starbucks,1026660,Maple Grove,18755 70th Way North,55311,45.083024,-93.517718,Hy-Vee Maple Grove,LS,60951-277644,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Starbucks,1013250,New Hope,8200 42nd Ave. N,55427,45.034665,-93.384013,Hy-Vee - New Hope #1,LS,26711-243086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Starbucks,1022984,Robbinsdale,3505 Bottineau Blvd.,55422,45.019689,-93.327546,Hy-Vee Robbinsdale,LS,55981-286442,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Starbucks,1022964,Robbinsdale,3503 Bottineau Blvd.,55422,45.019007,-93.3257,Hy-Vee Robbinsdale DT Convenience,LS,52025-277306,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
Starbucks,17628,Plymouth,4175 Vinewood Lane N,55442,45.031346,-93.451348,Target Plymouth ST-664,LS,72685-76622,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
Starbucks,1026487,Plymouth,4090 Annapolis Lane,55447,45.028742,-93.456868,Rockford and Annapolis - Plymouth,CO,53551-281365,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1
Starbucks,17376,Monticello,1447 East 7th St.,55362,45.293754,-93.773532,Target Monticello T-2180,LS,76730-100251,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0
Starbucks,10143,Medina,300 Clydesdale Rd.,55340,45.045444,-93.529408,Target Medina T-2223,LS,76709-99117,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
Starbucks,1016337,Plymouth,15850 32nd Avenue North,55447,45.01842,-93.482308,Hwy 55 & Vicksburg Ave - Plymouth,CO,2330-245290,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0
Starbucks,1018307,Minneapolis,100 Hennepin Ave.,55401,44.983769,-93.267214,Minneapolis - 100 Hennepin,CO,29785-255321,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0
Starbucks,1025427,Minneapolis,713 South Washington Avenue,55415,44.97728,-93.257954,East End  Minneapolis,LS,55967-288785,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
Starbucks,1018177,Minneapolis,515 South 4th St.,55415,44.976494,-93.262651,Minneapolis - 5th Ave & 4th St,CO,49663-270165,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0
Starbucks,1016976,Minneapolis,450 Marquette Ave.,55401,44.97854,-93.269386,5th and Marquette,CO,28076-249968,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1
Starbucks,1021830,Minneapolis,88 S 6th St.,55402,44.977962,-93.270292,Westin - Minneapolis,LS,54613-282524,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
Starbucks,1023624,Plymouth,16705 County Rd. 24,55447,45.019224,-93.493007,HY-VEE PLYMOUTH,LS,57786-291572,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Starbucks,8164,Plymouth,2661 Campus Dr.,55441,45.008333,-93.449222,Plymouth - Hwy 55 & NW Blvd.,CO,9712-97797,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0
Starbucks,15927,Buffalo,1300 State Hwy 55 NE,55313,45.168514,-93.860245,Target Buffalo T-861,LS,76224-90369,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0
Starbucks,1026217,Plymouth,11129 Highway 55,55441,44.987689,-93.421149,Hwy 55 & South Shore Dr,CO,52544-281367,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1
Starbucks,11974,Minneapolis,120 S 6th Street,55402,44.977241,-93.268729,120 S. 6th Street - Skyway level,CO,262-1495,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0
