address,id,latitude,longitude,city,name,zip code,Drive-Thru,Bagels in the Bou,Order Ahead,WiFi,Nitro on Tap,Catering,Walk-Up Window
"400 West 5th Street Northfield, MN",8865580,44.45540237426758,-93.16545104980469,Northfield,Northfield - Shoppes At Westside Plaza,55057,0,1,1,1,0,0,0
"726 Main Street Red Wing, MN",8865619,44.564598083496094,-92.53946685791016,Red Wing,Red Wing - Main St,55066,1,1,1,1,0,0,0
"17605 Glasgow Avenue Lakeville, MN",8865468,44.694190979003906,-93.215087890625,Lakeville,Lakeville - Cedar & Dodd,55044,0,1,1,1,0,0,0
"1920 Grant Street NW Faribault, MN",8865571,44.29527282714844,-93.29704284667969,Faribault,Hy-Vee - Faribault,55021,0,0,0,1,0,0,0
"14638 Cedar Avenue Apple Valley, MN",8865469,44.73643112182617,-93.21703338623047,Apple Valley,Apple Valley - Cedar Avenue,55124,0,1,1,1,1,0,0
"18444 Kenrick Avenue Lakeville, MN",8865492,44.681758880615234,-93.28812408447266,Lakeville,Lakeville - Timbercrest,55044,0,1,1,1,0,0,0
"17880 Kenwood Trail Lakeville, MN",9061076,44.689903259277344,-93.28116607666016,Lakeville,Coffee & Bagels Kenwood Trail,55044,1,1,0,1,0,0,0
"17450 Kenwood Trail Lakeville, MN",8865489,44.69602584838867,-93.2854995727539,Lakeville,Lakeville-Hwy 50,55044,0,1,1,1,0,0,0
"1100 East County Road 42 Burnsville, MN",8865504,44.737998962402344,-93.25862121582031,Burnsville,Burnsville - Wood Park Crossing,55337,0,1,1,1,0,0,0
"401 E County Road 42 Burnsville, MN",8865712,44.73859405517578,-93.27022552490234,Burnsville,Lunds & Byerlys - Burnsville,55306,0,0,0,1,0,0,0
"14204 Burnhaven Drive Burnsville, MN",8865470,44.74413299560547,-93.28914642333984,Burnsville,Burnsville Center,55306,0,1,0,1,0,0,0
"16731 Highway 13 Prior Lake, MN",8865713,44.70641326904297,-93.42866516113281,Prior Lake,Lunds & Byerlys - Prior Lake,55372,0,0,0,0,0,0,0
"7745 Egan Drive Savage, MN",8865461,44.74516677856445,-93.37901306152344,Savage,Savage (Cty Rd 42 & 13-Super Target),55378,1,1,1,1,0,0,0
"1380 Duckwood Drive Eagan, MN",8865404,44.82687759399414,-93.16573333740234,Eagan,Eagan - Duckwood,55123,1,1,1,1,0,0,0
"1299 Promenade Place Eagan, MN",8865628,44.83631896972656,-93.1583251953125,Eagan,Lunds & Byerlys - Eagan,55121,0,0,0,1,0,0,0
"2149 Cliff Road Eagan, MN",8865627,44.791114807128906,-93.21724700927734,Eagan,Eagan - Cliff Road,55122,0,0,1,1,0,0,0
"230 Spring Street St Paul, MN",8865372,44.94004821777344,-93.09980773925781,St Paul,St. Paul - Shepard Road,55102,0,1,1,0,1,0,0
"2340 West 7th Street St. Paul, MN",8865392,44.903907775878906,-93.16492462158203,St. Paul,St. Paul - West 7th Street,55116,1,1,1,1,1,0,0
"757 Grand Avenue St. Paul, MN",8865367,44.940185546875,-93.13212585449219,St. Paul,Grand II,55105,0,1,1,1,0,0,0
"56 East 6th Street St. Paul, MN",8865369,44.94709014892578,-93.09280395507812,St. Paul,Alliance Bank Center,55101,0,1,1,1,0,0,0
"444 Cedar Street St. Paul, MN",8865368,44.94807434082031,-93.09408569335938,St. Paul,Town Square,55101,0,1,1,0,0,0,0
"4300 Glumack Drive St. Paul, MN",8865612,44.88054656982422,-93.20089721679688,St. Paul,MSP Airport Terminal 1 - Concourse A - Post-Security,55111,0,0,0,0,0,0,0
"4300 Glumack Drive St. Paul, MN",8865614,44.88235855102539,-93.21223449707031,St. Paul,MSP Airport Terminal 1 - Concourse G - Post-Security,55111,0,0,0,0,0,0,0
"4300 Glumack Drive St. Paul, MN",8865615,44.88322448730469,-93.21312713623047,St. Paul,MSP Airport Terminal 1 - Concourse F - Post-Security,55111,0,0,0,0,1,0,0
"2001 Cliff Road East Burnsville, MN",8865491,44.78965759277344,-93.24540710449219,Burnsville,Burnsville - Town & Country,55337,1,1,1,1,0,0,0
"60 East Broadway S-380 Bloomington, MN",8865722,44.85459518432617,-93.24246215820312,Bloomington,Mall Of America - 3rd Floor South,55425,0,0,0,1,0,0,0
"5102 Center Court - Nickelodeon Universe Bloomington, MN",8865723,44.85577392578125,-93.24217224121094,Bloomington,Mall Of America - Nickelodeon Universe,55425,0,0,0,0,0,0,0
"60 East Broadway N-194 Bloomington, MN",8865485,44.85540008544922,-93.24317169189453,Bloomington,Mall of America - 1st Floor North,55425,0,1,0,1,0,0,0
"60 East Broadway N-224 Bloomington, MN",8865486,44.85540008544922,-93.24317169189453,Bloomington,Mall of America - 2nd Floor North,55425,0,1,0,1,0,0,0
"60 East Broadway S-226 Bloomington, MN",8865484,44.85540008544922,-93.24317169189453,Bloomington,Mall of America - South Skyway,55425,0,1,0,0,0,0,0
"12601 Nicollet Avenue Burnsville, MN",8865490,44.7734375,-93.27711486816406,Burnsville,Burnsville Parkway & Nicollet,55337,0,1,1,1,0,0,0
"2134 Ford Parkway St. Paul, MN",8865391,44.91741943359375,-93.19100952148438,St. Paul,Highland Park,55116,0,1,1,1,0,0,0
"1817 Randolph Avenue St. Paul, MN",8865393,44.927330017089844,-93.17687225341797,St. Paul,St. Paul - Randolph & Fairview,55105,0,1,1,1,0,0,0
"7150 Humphrey Drive Minneapolis, MN",8865610,44.8734016418457,-93.22867584228516,Minneapolis,MSP Airport Terminal 2 - Baggage Claim,55450,0,0,0,0,0,0,0
"7150 Humphrey Drive Minneapolis, MN",8865613,44.873409271240234,-93.22869873046875,Minneapolis,MSP Airport Terminal 2 - Concourse H - Post-Security,55450,0,0,0,0,0,0,0
"3835 West Old Shakopee Road Bloomington, MN",8865487,44.81028366088867,-93.32913208007812,Bloomington,France & Old Shakopee,55431,0,1,1,1,0,0,0
"5159 West 98th Street Bloomington, MN",8865721,44.82386016845703,-93.3494644165039,Bloomington,Lunds & Byerlys - Bloomington,55437,0,0,0,1,0,0,0
"2400 Mystic Lake Boulevard Prior Lake, MN",8865715,44.730587005615234,-93.47434997558594,Prior Lake,Mystic Lake,55372,0,0,0,1,0,0,0
"1539 17th Avenue East Shakopee, MN",8865462,44.77417755126953,-93.5040054321289,Shakopee,Shakopee Valley Marketplace,55379,1,1,1,1,0,0,0
"1361 Heather Street Shakopee, MN",8865471,44.782535552978516,-93.50682067871094,Shakopee,Shakopee - Marschall Road,55379,1,1,1,1,0,0,0
"1004 Gateway Drive Chaska, MN",8865463,44.803768157958984,-93.57798767089844,Chaska,Chaska - Gateway Drive,55318,1,1,1,0,0,0,0
"142 Pioneer Trail Chaska, MN",8865464,44.82974624633789,-93.6001205444336,Chaska,Chaska Pioneer,55318,0,1,1,1,0,0,0
"1 Valleyfair Drive Shakopee, MN",8865717,44.79863357543945,-93.45408630371094,Shakopee,Valleyfair,55379,0,0,0,0,0,0,0
